symbol,market_cap,current % drop,52_week_high,current_price
AACG,94786592,0.850632911392405,19.75,2.95
AACQ,892946176,0.28765167737330477,14.01,9.98
AACQU,,0.289798570500325,15.39,10.93
AACQW,,0.01666666666666672,2.4,2.36
AADR,,0.045248206179528516,68.29,65.2
AAL,14296427520,0.14794940590264472,26.09,22.23
AAME,83294016,0.7463994990607389,15.97,4.05
AAOI,220003872,0.5093910073989756,17.57,8.62
AAON,3191854336,0.22227692307692315,81.25,63.19
AAPL,2177064370176,0.09166724102281354,145.09,131.79
AAWW,1943178880,0.07373392810286017,76.22,70.6
AAXJ,,0.08736821554080443,102.44,93.49
ABCB,3487761408,0.11595655806182126,59.85,52.91
ABCL,6282774528,0.6827979418717842,71.91,22.81
ABCM,4244028672,0.2191170514378291,24.69,19.28
